date,open,high,low,close,adj close,volume
2005-02-25,98.529999,99.470001,97.879997,98.879997,98.879997,9160000
2005-02-28,98.879997,99.629997,98.820000,98.970001,98.970001,8350000
2005-03-01,98.970001,98.970001,96.800003,96.849998,96.849998,8190000
2005-03-02,96.849998,98.169998,95.980003,98.120003,98.120003,8910000
2005-03-03,98.120003,98.220001,96.980003,97.089996,97.089996,8800000
2005-03-04,97.089996,100.059998,97.089996,99.800003,99.800003,8800000
2005-03-07,99.800003,100.019997,98.839996,98.949997,98.949997,8130000
2005-03-08,98.949997,102.550003,98.949997,102.269997,102.269997,8680000
2005-03-09,102.269997,103.779999,102.260002,102.830002,102.830002,10070000
2005-03-10,102.830002,103.209999,100.879997,101.790001,101.790001,8200000
2005-03-11,101.790001,102.669998,101.680000,101.889999,101.889999,8870000
2005-03-14,101.889999,101.889999,99.989998,100.830002,100.830002,8630000
2005-03-15,100.830002,101.510002,100.440002,100.620003,100.620003,7920000
2005-03-16,100.620003,102.370003,100.620003,101.440002,101.440002,7180000
2005-03-17,103.150002,103.150002,100.339996,101.599998,101.599998,8600000
2005-03-18,101.599998,101.599998,100.320000,100.550003,100.550003,9230000
2005-03-21,100.550003,100.550003,97.680000,97.790001,97.790001,9300000
2005-03-22,97.790001,98.970001,95.750000,95.779999,95.779999,8870000
2005-03-23,95.779999,95.779999,93.919998,93.919998,93.919998,12010000
2005-03-24,93.919998,94.459999,92.879997,92.970001,92.970001,8070000
2005-03-28,92.970001,93.669998,92.589996,92.589996,92.589996,5780000
2005-03-29,92.589996,93.389999,91.790001,91.919998,91.919998,8220000
2005-03-30,91.919998,93.230003,91.889999,93.230003,93.230003,9240000
2005-03-31,93.230003,94.660004,93.230003,93.730003,93.730003,9180000
2005-04-01,93.730003,94.279999,92.720001,94.010002,94.010002,10350000
2005-04-04,94.010002,94.010002,92.099998,92.459999,92.459999,9290000
2005-04-05,92.639999,93.410004,92.489998,92.779999,92.779999,9690000
2005-04-06,93.070000,93.800003,92.510002,93.480003,93.480003,7690000
2005-04-07,93.529999,94.400002,93.099998,93.220001,93.220001,7980000
2005-04-08,93.220001,93.720001,92.550003,92.889999,92.889999,8420000
2005-04-11,92.889999,93.550003,92.129997,92.379997,92.379997,7650000
2005-04-12,92.379997,92.379997,90.629997,91.949997,91.949997,9790000
2005-04-13,91.849998,91.849998,90.080002,90.129997,90.129997,7400000
2005-04-14,89.510002,89.510002,86.889999,87.180000,87.180000,9430000
2005-04-15,87.180000,88.470001,86.279999,86.389999,86.389999,12210000
2005-04-18,86.389999,88.300003,86.360001,88.050003,88.050003,9110000
2005-04-19,88.300003,90.830002,88.290001,90.809998,90.809998,8120000
2005-04-20,90.449997,91.589996,89.660004,89.980003,89.980003,7430000
2005-04-21,89.889999,90.320000,88.620003,89.000000,89.000000,7370000
2005-04-22,89.739998,89.959999,88.220001,88.389999,88.389999,6600000
2005-04-25,88.089996,88.580002,87.000000,88.580002,88.580002,5980000
2005-04-26,89.000000,89.480003,87.050003,87.050003,87.050003,7980000
2005-04-27,85.559998,85.559998,82.860001,83.550003,83.550003,7820000
2005-04-28,83.309998,83.309998,81.790001,82.129997,82.129997,9810000
2005-04-29,82.129997,84.320000,82.099998,83.510002,83.510002,9870000
2005-05-02,83.349998,83.650002,82.519997,83.650002,83.650002,9880000
2005-05-03,83.379997,84.760002,83.169998,84.570000,84.570000,13210000
2005-05-04,84.989998,86.309998,84.959999,86.279999,86.279999,10220000
2005-05-05,86.260002,86.419998,85.510002,85.879997,85.879997,9070000
2005-05-06,85.169998,85.720001,84.349998,85.669998,85.669998,7210000
2005-05-09,85.779999,85.970001,85.370003,85.959999,85.959999,9980000
2005-05-10,86.050003,86.430000,84.050003,84.169998,84.169998,7040000
2005-05-11,84.169998,84.360001,83.150002,83.360001,83.360001,10010000
2005-05-12,83.360001,83.360001,79.930000,80.330002,80.330002,8640000
2005-05-13,80.330002,80.680000,78.669998,78.989998,78.989998,9040000
2005-05-16,78.989998,79.550003,78.230003,78.730003,78.730003,7180000
2005-05-17,78.730003,80.790001,78.730003,80.550003,80.550003,7880000
2005-05-18,80.550003,82.870003,80.550003,82.209999,82.209999,11060000
2005-05-19,82.209999,82.209999,80.709999,81.699997,81.699997,9900000
2005-05-20,81.699997,81.699997,80.300003,80.730003,80.730003,8260000
2005-05-23,80.730003,82.239998,80.650002,81.959999,81.959999,6670000
2005-05-24,82.599998,84.059998,82.599998,83.980003,83.980003,9490000
2005-05-25,84.169998,84.459999,83.389999,84.230003,84.230003,8460000
2005-05-26,84.230003,84.370003,83.360001,83.360001,83.360001,6960000
2005-05-27,83.360001,86.580002,83.360001,86.459999,86.459999,6690000
2005-05-31,86.459999,86.639999,84.510002,86.269997,86.269997,6720000
2005-06-01,86.150002,88.220001,86.029999,87.970001,87.970001,8130000
2005-06-02,88.690002,90.139999,87.150002,87.349998,87.349998,7930000
2005-06-03,87.349998,89.129997,87.349998,88.150002,88.150002,6810000
2005-06-06,88.720001,89.400002,87.110001,87.139999,87.139999,6370000
2005-06-07,87.139999,87.150002,85.440002,85.440002,85.440002,7320000
2005-06-08,85.580002,86.800003,84.820000,85.209999,85.209999,8650000
2005-06-09,85.190002,85.379997,84.129997,85.370003,85.370003,7550000
2005-06-10,85.480003,88.720001,84.709999,88.540001,88.540001,6630000
2005-06-13,88.669998,89.839996,88.209999,89.349998,89.349998,7530000
2005-06-14,89.239998,89.239998,87.510002,88.019997,88.019997,7800000
2005-06-15,88.019997,89.589996,88.019997,89.410004,89.410004,7250000
2005-06-16,89.410004,92.660004,89.410004,92.400002,92.400002,7320000
2005-06-17,92.400002,93.760002,92.400002,92.910004,92.910004,6800000
2005-06-20,93.080002,93.430000,91.190002,91.389999,91.389999,6860000
2005-06-21,91.389999,92.449997,90.190002,91.779999,91.779999,6500000
2005-06-22,91.550003,91.599998,90.639999,91.300003,91.300003,7230000
2005-06-23,91.300003,93.239998,91.300003,91.790001,91.790001,6920000
2005-06-24,91.919998,93.279999,91.800003,92.599998,92.599998,7030000
2005-06-27,92.470001,92.519997,91.660004,91.669998,91.669998,5860000
2005-06-28,91.430000,91.430000,90.599998,91.099998,91.099998,7170000
2005-06-29,91.099998,94.550003,91.089996,94.550003,94.550003,6900000
2005-06-30,94.650002,95.099998,92.699997,93.010002,93.010002,8660000
2005-07-01,92.959999,93.610001,90.900002,93.379997,93.379997,5890000
2005-07-05,92.720001,92.739998,90.669998,90.930000,90.930000,5670000
2005-07-06,91.290001,92.690002,91.279999,91.769997,91.769997,6460000
2005-07-07,92.389999,92.769997,91.449997,92.160004,92.160004,7350000
2005-07-08,92.379997,93.339996,91.930000,92.169998,92.169998,6680000
2005-07-11,92.540001,94.419998,92.540001,94.089996,94.089996,7530000
2005-07-12,94.690002,95.070000,93.540001,93.970001,93.970001,7850000
2005-07-13,93.680000,93.720001,92.970001,93.570000,93.570000,8220000
2005-07-14,93.739998,94.099998,91.220001,91.260002,91.260002,8250000
